id,salary,salary_bracket,age,age_bracket,education,education_level,car_brand,car_brandname,region,US_region,credit_score,computer_brand,computer_brandname
38,130813,High,56,"Old Age",3,College,14,"Mercedes Benz",3,"West North Central",135943,1,Sony
39,33466,"Below Minimum",74,"Old Age",4,Postgraduate,20,Others,6,"West South Central",123852,0,Acer
40,53775,"Below Minimum",46,"Old Age",2,"Less than College",16,Nissan,3,"West North Central",168431,1,Sony
41,136459,High,24,"Young Adult",4,Postgraduate,8,Honda,5,"East South Central",80501,1,Sony
42,26387,"Below Minimum",52,"Old Age",1,"High School",3,Cadillac,2,"East North Central",93758,1,Sony
43,147841,High,46,"Old Age",2,"Less than College",20,Others,3,"West North Central",92641,1,Sony
44,125117,High,32,"Middle Age",3,College,15,Mitsubishi,0,"New England",290177,1,Sony
45,103867,High,62,"Old Age",3,College,3,Cadillac,0,"New England",359804,1,Sony
46,138428,High,59,"Old Age",3,College,15,Mitsubishi,2,"East North Central",291340,1,Sony
47,72299,Minimum,29,"Young Adult",4,Postgraduate,17,Ram,0,"New England",276299,0,Acer
48,111873,High,41,"Middle Age",0,"Less than High School",8,Honda,1,Mid-Atlantic,13675,0,Acer
49,122628,High,52,"Old Age",0,"Less than High School",15,Mitsubishi,3,"West North Central",156008,0,Acer
50,37803,"Below Minimum",41,"Middle Age",1,"High School",5,Chrysler,4,"South Atlantic",493219,1,Sony
51,43845,"Below Minimum",20,"Young Adult",1,"High School",7,Ford,1,Mid-Atlantic,233618,1,Sony
52,63704,"Below Minimum",48,"Old Age",4,Postgraduate,16,Nissan,5,"East South Central",299460,1,Sony
53,77137,Minimum,63,"Old Age",0,"Less than High School",16,Nissan,6,"West South Central",113684,0,Acer
54,129000,High,52,"Old Age",1,"High School",6,Dodge,0,"New England",152233,0,Acer
55,123739,High,29,"Young Adult",3,College,4,Chevrolet,3,"West North Central",224837,1,Sony
56,57991,"Below Minimum",52,"Old Age",3,College,20,Others,4,"South Atlantic",227744,1,Sony
57,39736,"Below Minimum",60,"Old Age",1,"High School",18,Subaru,6,"West South Central",157371,0,Acer
58,82475,Middle,33,"Middle Age",4,Postgraduate,13,Mazda,3,"West North Central",424657,0,Acer
59,55982,"Below Minimum",60,"Old Age",3,College,2,Buick,1,Mid-Atlantic,50869,0,Acer
60,63989,"Below Minimum",62,"Old Age",2,"Less than College",6,Dodge,3,"West North Central",262136,0,Acer
61,133280,High,41,"Middle Age",2,"Less than College",15,Mitsubishi,6,"West South Central",260987,1,Sony
62,44724,"Below Minimum",63,"Old Age",0,"Less than High School",1,BMW,7,Mountain,44447,0,Acer
63,132310,High,23,"Young Adult",1,"High School",11,Kia,4,"South Atlantic",451928,1,Sony
64,25011,"Below Minimum",20,"Young Adult",4,Postgraduate,3,Cadillac,7,Mountain,282743,1,Sony
65,43343,"Below Minimum",29,"Young Adult",2,"Less than College",20,Others,8,Pacific,52720,1,Sony
66,113236,High,24,"Young Adult",2,"Less than College",7,Ford,7,Mountain,198382,1,Sony
67,41011,"Below Minimum",62,"Old Age",4,Postgraduate,9,Hyundai,4,"South Atlantic",476510,1,Sony
68,87156,Middle,51,"Old Age",0,"Less than High School",7,Ford,6,"West South Central",18500,0,Acer
69,87554,Middle,39,"Middle Age",4,Postgraduate,6,Dodge,0,"New England",150613,0,Acer
70,120526,High,57,"Old Age",1,"High School",6,Dodge,2,"East North Central",15965,0,Acer
71,148519,High,52,"Old Age",1,"High School",17,Ram,8,Pacific,293916,1,Sony
72,55984,"Below Minimum",59,"Old Age",1,"High School",15,Mitsubishi,1,Mid-Atlantic,129110,0,Acer
73,140567,High,64,"Old Age",4,Postgraduate,11,Kia,2,"East North Central",278415,1,Sony
74,140390,High,69,"Old Age",2,"Less than College",7,Ford,6,"West South Central",235411,1,Sony
75,121458,High,50,"Old Age",2,"Less than College",2,Buick,8,Pacific,415359,0,Acer
76,144662,High,49,"Old Age",0,"Less than High School",20,Others,8,Pacific,71439,1,Sony
77,37228,"Below Minimum",27,"Young Adult",1,"High School",13,Mazda,2,"East North Central",283719,1,Sony
78,106841,High,78,"Old Age",3,College,2,Buick,5,"East South Central",386222,1,Sony
79,24385,"Below Minimum",80,"Old Age",3,College,4,Chevrolet,5,"East South Central",0,1,Sony
80,93366,Middle,59,"Old Age",1,"High School",13,Mazda,1,Mid-Atlantic,165626,0,Acer
81,89741,Middle,77,"Old Age",0,"Less than High School",18,Subaru,2,"East North Central",195092,1,Sony
82,90537,Middle,35,"Middle Age",1,"High School",2,Buick,2,"East North Central",302057,0,Acer
83,59566,"Below Minimum",53,"Old Age",1,"High School",12,Lincoln,8,Pacific,267996,1,Sony
84,95142,Middle,44,"Middle Age",0,"Less than High School",2,Buick,8,Pacific,89818,0,Acer
85,146529,High,64,"Old Age",3,College,1,BMW,1,Mid-Atlantic,79825,1,Sony
86,87384,Middle,80,"Old Age",3,College,7,Ford,5,"East South Central",243167,1,Sony
87,70973,Minimum,73,"Old Age",3,College,5,Chrysler,4,"South Atlantic",365744,0,Acer
88,39357,"Below Minimum",45,"Middle Age",1,"High School",7,Ford,8,Pacific,163175,1,Sony
89,21144,"Below Minimum",64,"Old Age",2,"Less than College",11,Kia,2,"East North Central",296635,1,Sony
90,117416,High,69,"Old Age",2,"Less than College",1,BMW,4,"South Atlantic",88340,1,Sony
91,37910,"Below Minimum",20,"Young Adult",3,College,1,BMW,1,Mid-Atlantic,399465,1,Sony
92,34582,"Below Minimum",55,"Old Age",0,"Less than High School",15,Mitsubishi,6,"West South Central",185603,1,Sony
93,90816,Middle,72,"Old Age",2,"Less than College",1,BMW,3,"West North Central",9099,1,Sony
94,96195,Middle,63,"Old Age",2,"Less than College",18,Subaru,7,Mountain,297686,1,Sony
95,92423,Middle,52,"Old Age",2,"Less than College",8,Honda,2,"East North Central",308887,0,Acer
96,37201,"Below Minimum",32,"Middle Age",3,College,9,Hyundai,6,"West South Central",168547,1,Sony
97,35220,"Below Minimum",50,"Old Age",2,"Less than College",15,Mitsubishi,1,Mid-Atlantic,94119,1,Sony
98,86617,Middle,49,"Old Age",0,"Less than High School",3,Cadillac,5,"East South Central",0,0,Acer
99,150000,High,31,"Middle Age",4,Postgraduate,18,Subaru,5,"East South Central",249791,1,Sony
100,132024,High,26,"Young Adult",3,College,3,Cadillac,1,Mid-Atlantic,447694,1,Sony
101,24857,"Below Minimum",67,"Old Age",0,"Less than High School",17,Ram,1,Mid-Atlantic,115344,1,Sony
102,98930,Middle,42,"Middle Age",0,"Less than High School",2,Buick,2,"East North Central",428279,0,Acer
103,147433,High,62,"Old Age",0,"Less than High School",5,Chrysler,2,"East North Central",305400,1,Sony
104,44417,"Below Minimum",61,"Old Age",2,"Less than College",5,Chrysler,7,Mountain,379922,1,Sony
105,60306,"Below Minimum",58,"Old Age",1,"High School",4,Chevrolet,4,"South Atlantic",469720,1,Sony
106,77489,Minimum,67,"Old Age",3,College,9,Hyundai,1,Mid-Atlantic,215683,0,Acer
107,124529,High,37,"Middle Age",3,College,20,Others,2,"East North Central",55452,1,Sony
108,32839,"Below Minimum",30,"Middle Age",4,Postgraduate,20,Others,1,Mid-Atlantic,177224,1,Sony
109,123755,High,46,"Old Age",2,"Less than College",15,Mitsubishi,7,Mountain,303086,0,Acer
110,108609,High,33,"Middle Age",2,"Less than College",3,Cadillac,4,"South Atlantic",165673,1,Sony
111,45071,"Below Minimum",48,"Old Age",3,College,1,BMW,5,"East South Central",360446,1,Sony
112,66939,Minimum,47,"Old Age",1,"High School",11,Kia,8,Pacific,15198,1,Sony
113,142249,High,62,"Old Age",3,College,15,Mitsubishi,1,Mid-Atlantic,121726,1,Sony
114,63508,"Below Minimum",58,"Old Age",3,College,12,Lincoln,3,"West North Central",484960,1,Sony
115,92418,Middle,43,"Middle Age",0,"Less than High School",2,Buick,0,"New England",22677,0,Acer
116,88387,Middle,80,"Old Age",1,"High School",11,Kia,1,Mid-Atlantic,82333,1,Sony
117,83675,Middle,50,"Old Age",3,College,16,Nissan,2,"East North Central",15255,0,Acer
118,80013,Middle,60,"Old Age",4,Postgraduate,14,"Mercedes Benz",2,"East North Central",449005,0,Acer
119,107710,High,75,"Old Age",0,"Less than High School",16,Nissan,2,"East North Central",209002,1,Sony
120,29061,"Below Minimum",45,"Middle Age",2,"Less than College",9,Hyundai,8,Pacific,406165,1,Sony
121,53724,"Below Minimum",42,"Middle Age",2,"Less than College",10,Jeep,2,"East North Central",371135,1,Sony
122,135094,High,79,"Old Age",3,College,20,Others,6,"West South Central",104210,1,Sony
123,148495,High,62,"Old Age",2,"Less than College",9,Hyundai,1,Mid-Atlantic,377495,1,Sony
124,107593,High,33,"Middle Age",2,"Less than College",6,Dodge,5,"East South Central",169847,1,Sony
125,124450,High,37,"Middle Age",0,"Less than High School",17,Ram,7,Mountain,255924,1,Sony
126,78238,Minimum,70,"Old Age",3,College,8,Honda,0,"New England",80433,0,Acer
127,94467,Middle,55,"Old Age",0,"Less than High School",8,Honda,4,"South Atlantic",263303,0,Acer
128,97737,Middle,21,"Young Adult",1,"High School",1,BMW,2,"East North Central",76882,1,Sony
129,113881,High,54,"Old Age",1,"High School",20,Others,4,"South Atlantic",236705,0,Acer
130,91315,Middle,57,"Old Age",3,College,16,Nissan,6,"West South Central",267351,0,Acer
131,27478,"Below Minimum",69,"Old Age",3,College,8,Honda,1,Mid-Atlantic,500000,0,Acer
132,47345,"Below Minimum",50,"Old Age",4,Postgraduate,10,Jeep,8,Pacific,110516,1,Sony
133,125452,High,42,"Middle Age",3,College,14,"Mercedes Benz",1,Mid-Atlantic,417530,1,Sony
134,145684,High,41,"Middle Age",3,College,9,Hyundai,7,Mountain,271596,1,Sony
135,122498,High,57,"Old Age",0,"Less than High School",4,Chevrolet,7,Mountain,393515,0,Acer
136,38579,"Below Minimum",44,"Middle Age",2,"Less than College",10,Jeep,3,"West North Central",84260,1,Sony
137,119889,High,41,"Middle Age",0,"Less than High School",3,Cadillac,6,"West South Central",328779,0,Acer
138,21382,"Below Minimum",65,"Old Age",1,"High School",8,Honda,1,Mid-Atlantic,434788,1,Sony
139,38043,"Below Minimum",52,"Old Age",2,"Less than College",2,Buick,3,"West North Central",210005,1,Sony
140,128751,High,66,"Old Age",0,"Less than High School",2,Buick,0,"New England",394011,1,Sony
141,145090,High,72,"Old Age",3,College,13,Mazda,4,"South Atlantic",63909,1,Sony
142,102644,High,72,"Old Age",1,"High School",6,Dodge,0,"New England",279656,1,Sony
143,49692,"Below Minimum",42,"Middle Age",4,Postgraduate,8,Honda,2,"East North Central",462826,1,Sony
144,91507,Middle,63,"Old Age",4,Postgraduate,4,Chevrolet,0,"New England",173423,1,Sony
145,50888,"Below Minimum",55,"Old Age",0,"Less than High School",20,Others,2,"East North Central",329172,1,Sony
146,101455,High,26,"Young Adult",0,"Less than High School",18,Subaru,2,"East North Central",22961,0,Acer
147,140428,High,43,"Middle Age",1,"High School",1,BMW,3,"West North Central",239340,1,Sony
148,84796,Middle,24,"Young Adult",2,"Less than College",19,Toyota,2,"East North Central",167741,0,Acer
149,123266,High,45,"Middle Age",0,"Less than High School",17,Ram,3,"West North Central",0,0,Acer
150,30751,"Below Minimum",60,"Old Age",1,"High School",20,Others,6,"West South Central",143400,1,Sony
151,112310,High,75,"Old Age",1,"High School",3,Cadillac,6,"West South Central",161947,1,Sony
152,108356,High,26,"Young Adult",0,"Less than High School",9,Hyundai,0,"New England",193313,1,Sony
153,20359,"Below Minimum",76,"Old Age",4,Postgraduate,16,Nissan,6,"West South Central",330197,1,Sony
154,90371,Middle,24,"Young Adult",3,College,16,Nissan,5,"East South Central",131948,0,Acer
155,132531,High,25,"Young Adult",1,"High School",5,Chrysler,4,"South Atlantic",145812,1,Sony
156,145227,High,51,"Old Age",1,"High School",5,Chrysler,3,"West North Central",436187,1,Sony
157,50977,"Below Minimum",67,"Old Age",0,"Less than High School",6,Dodge,4,"South Atlantic",55908,0,Acer
158,54516,"Below Minimum",49,"Old Age",3,College,4,Chevrolet,4,"South Atlantic",129914,1,Sony
159,23520,"Below Minimum",72,"Old Age",2,"Less than College",8,Honda,7,Mountain,313319,0,Acer
160,47039,"Below Minimum",37,"Middle Age",4,Postgraduate,11,Kia,4,"South Atlantic",26372,1,Sony
161,70252,Minimum,68,"Old Age",1,"High School",3,Cadillac,4,"South Atlantic",181439,0,Acer
162,61028,"Below Minimum",77,"Old Age",1,"High School",19,Toyota,7,Mountain,257104,0,Acer
163,29820,"Below Minimum",57,"Old Age",4,Postgraduate,4,Chevrolet,4,"South Atlantic",186745,1,Sony
164,90380,Middle,28,"Young Adult",2,"Less than College",17,Ram,0,"New England",0,0,Acer
165,41935,"Below Minimum",31,"Middle Age",4,Postgraduate,18,Subaru,2,"East North Central",267103,1,Sony
166,92354,Middle,62,"Old Age",2,"Less than College",3,Cadillac,0,"New England",314306,0,Acer
167,77469,Minimum,65,"Old Age",4,Postgraduate,20,Others,8,Pacific,247147,1,Sony
168,87634,Middle,59,"Old Age",2,"Less than College",5,Chrysler,6,"West South Central",206712,1,Sony
169,104291,High,40,"Middle Age",1,"High School",18,Subaru,4,"South Atlantic",361986,0,Acer
170,128603,High,36,"Middle Age",0,"Less than High School",1,BMW,7,Mountain,484482,1,Sony
171,68055,Minimum,61,"Old Age",1,"High School",20,Others,3,"West North Central",277301,0,Acer
172,132210,High,68,"Old Age",2,"Less than College",4,Chevrolet,6,"West South Central",417556,1,Sony
173,25442,"Below Minimum",69,"Old Age",2,"Less than College",11,Kia,7,Mountain,0,0,Acer
174,107768,High,28,"Young Adult",3,College,19,Toyota,1,Mid-Atlantic,53831,1,Sony
175,20000,"Below Minimum",41,"Middle Age",0,"Less than High School",10,Jeep,2,"East North Central",485645,1,Sony
176,74869,Minimum,71,"Old Age",1,"High School",7,Ford,5,"East South Central",176808,0,Acer
177,94419,Middle,67,"Old Age",2,"Less than College",12,Lincoln,6,"West South Central",205764,1,Sony
178,50607,"Below Minimum",48,"Old Age",0,"Less than High School",14,"Mercedes Benz",0,"New England",320468,1,Sony
179,95048,Middle,79,"Old Age",4,Postgraduate,8,Honda,2,"East North Central",329923,1,Sony
180,75014,Minimum,72,"Old Age",3,College,18,Subaru,3,"West North Central",296145,1,Sony
181,36667,"Below Minimum",77,"Old Age",0,"Less than High School",8,Honda,0,"New England",8797,0,Acer
182,37490,"Below Minimum",43,"Middle Age",4,Postgraduate,9,Hyundai,7,Mountain,204502,1,Sony
183,130455,High,56,"Old Age",4,Postgraduate,20,Others,1,Mid-Atlantic,92299,1,Sony
184,97986,Middle,69,"Old Age",2,"Less than College",5,Chrysler,5,"East South Central",247553,1,Sony
185,124820,High,58,"Old Age",4,Postgraduate,6,Dodge,1,Mid-Atlantic,357089,0,Acer
186,29759,"Below Minimum",47,"Old Age",1,"High School",14,"Mercedes Benz",3,"West North Central",436452,1,Sony
187,76687,Minimum,41,"Middle Age",0,"Less than High School",4,Chevrolet,3,"West North Central",405797,0,Acer
188,105759,High,75,"Old Age",1,"High School",15,Mitsubishi,1,Mid-Atlantic,1482,1,Sony
189,115743,High,72,"Old Age",2,"Less than College",7,Ford,3,"West North Central",394712,1,Sony
190,150000,High,66,"Old Age",2,"Less than College",8,Honda,7,Mountain,308690,1,Sony
191,69861,Minimum,80,"Old Age",1,"High School",15,Mitsubishi,0,"New England",146050,0,Acer
192,36679,"Below Minimum",35,"Middle Age",4,Postgraduate,12,Lincoln,1,Mid-Atlantic,15727,1,Sony
193,145580,High,60,"Old Age",4,Postgraduate,12,Lincoln,7,Mountain,123744,1,Sony
194,32818,"Below Minimum",33,"Middle Age",3,College,15,Mitsubishi,1,Mid-Atlantic,13982,1,Sony
195,87572,Middle,43,"Middle Age",1,"High School",12,Lincoln,4,"South Atlantic",68501,0,Acer
196,30732,"Below Minimum",67,"Old Age",3,College,12,Lincoln,6,"West South Central",460325,0,Acer
197,95688,Middle,29,"Young Adult",2,"Less than College",13,Mazda,3,"West North Central",247281,0,Acer
198,36115,"Below Minimum",80,"Old Age",2,"Less than College",6,Dodge,5,"East South Central",18918,0,Acer
199,125797,High,57,"Old Age",0,"Less than High School",15,Mitsubishi,7,Mountain,323424,0,Acer
200,76194,Minimum,24,"Young Adult",2,"Less than College",1,BMW,3,"West North Central",386231,0,Acer
201,140324,High,33,"Middle Age",1,"High School",20,Others,2,"East North Central",135552,1,Sony
202,109953,High,22,"Young Adult",4,Postgraduate,5,Chrysler,7,Mountain,333992,1,Sony
203,110028,High,52,"Old Age",0,"Less than High School",16,Nissan,4,"South Atlantic",386734,0,Acer
204,84486,Middle,53,"Old Age",3,College,16,Nissan,4,"South Atlantic",35094,0,Acer
205,95545,Middle,44,"Middle Age",4,Postgraduate,2,Buick,1,Mid-Atlantic,0,0,Acer
206,81015,Middle,63,"Old Age",0,"Less than High School",7,Ford,7,Mountain,250036,1,Sony
207,69060,Minimum,62,"Old Age",4,Postgraduate,15,Mitsubishi,4,"South Atlantic",175509,0,Acer
208,51477,"Below Minimum",68,"Old Age",1,"High School",20,Others,4,"South Atlantic",137952,0,Acer
209,88405,Middle,36,"Middle Age",4,Postgraduate,8,Honda,7,Mountain,195043,0,Acer
210,147665,High,59,"Old Age",0,"Less than High School",14,"Mercedes Benz",2,"East North Central",259877,1,Sony
211,79709,Minimum,51,"Old Age",2,"Less than College",3,Cadillac,1,Mid-Atlantic,291992,0,Acer
212,108135,High,62,"Old Age",0,"Less than High School",17,Ram,1,Mid-Atlantic,409078,1,Sony
213,68053,Minimum,44,"Middle Age",4,Postgraduate,18,Subaru,2,"East North Central",144931,1,Sony
214,116982,High,42,"Middle Age",0,"Less than High School",5,Chrysler,6,"West South Central",250699,0,Acer
215,139193,High,69,"Old Age",0,"Less than High School",13,Mazda,4,"South Atlantic",0,1,Sony
216,36761,"Below Minimum",32,"Middle Age",2,"Less than College",6,Dodge,2,"East North Central",114826,1,Sony
217,107343,High,58,"Old Age",1,"High School",5,Chrysler,1,Mid-Atlantic,392559,1,Sony
218,150000,High,56,"Old Age",1,"High School",7,Ford,4,"South Atlantic",373050,1,Sony
219,101997,High,33,"Middle Age",0,"Less than High School",8,Honda,2,"East North Central",276545,0,Acer
220,73585,Minimum,73,"Old Age",2,"Less than College",14,"Mercedes Benz",3,"West North Central",269058,0,Acer
221,101445,High,23,"Young Adult",2,"Less than College",15,Mitsubishi,2,"East North Central",243689,1,Sony
222,106136,High,64,"Old Age",3,College,4,Chevrolet,0,"New England",380743,1,Sony
223,133897,High,64,"Old Age",3,College,10,Jeep,3,"West North Central",430304,1,Sony
224,77598,Minimum,54,"Old Age",2,"Less than College",11,Kia,7,Mountain,210082,0,Acer
225,150000,High,31,"Middle Age",0,"Less than High School",4,Chevrolet,6,"West South Central",369432,1,Sony
226,89054,Middle,62,"Old Age",3,College,4,Chevrolet,1,Mid-Atlantic,402450,1,Sony
227,120488,High,71,"Old Age",1,"High School",16,Nissan,2,"East North Central",82910,1,Sony
228,30992,"Below Minimum",75,"Old Age",1,"High School",18,Subaru,4,"South Atlantic",307979,0,Acer
229,117100,High,26,"Young Adult",0,"Less than High School",18,Subaru,6,"West South Central",91584,1,Sony
230,70484,Minimum,64,"Old Age",4,Postgraduate,16,Nissan,3,"West North Central",269514,0,Acer
231,137872,High,24,"Young Adult",0,"Less than High School",17,Ram,5,"East South Central",115782,1,Sony
232,79281,Minimum,46,"Old Age",0,"Less than High School",15,Mitsubishi,5,"East South Central",64620,0,Acer
233,67682,Minimum,62,"Old Age",2,"Less than College",19,Toyota,8,Pacific,124059,0,Acer
234,83185,Middle,62,"Old Age",4,Postgraduate,2,Buick,8,Pacific,163108,1,Sony
235,54661,"Below Minimum",32,"Middle Age",0,"Less than High School",18,Subaru,7,Mountain,168218,0,Acer
236,117947,High,20,"Young Adult",3,College,20,Others,1,Mid-Atlantic,168297,1,Sony
237,31430,"Below Minimum",47,"Old Age",4,Postgraduate,10,Jeep,2,"East North Central",177298,1,Sony
238,60052,"Below Minimum",23,"Young Adult",2,"Less than College",13,Mazda,7,Mountain,443870,0,Acer
239,81408,Middle,31,"Middle Age",4,Postgraduate,14,"Mercedes Benz",8,Pacific,329644,0,Acer
240,136061,High,77,"Old Age",4,Postgraduate,10,Jeep,6,"West South Central",349373,1,Sony
241,50883,"Below Minimum",72,"Old Age",1,"High School",18,Subaru,6,"West South Central",259957,0,Acer
242,88358,Middle,35,"Middle Age",2,"Less than College",15,Mitsubishi,4,"South Atlantic",58007,0,Acer
243,67177,Minimum,21,"Young Adult",0,"Less than High School",5,Chrysler,1,Mid-Atlantic,348279,0,Acer
244,145810,High,67,"Old Age",3,College,12,Lincoln,7,Mountain,176530,1,Sony
245,63708,"Below Minimum",31,"Middle Age",0,"Less than High School",18,Subaru,6,"West South Central",129263,0,Acer
246,127070,High,73,"Old Age",3,College,13,Mazda,5,"East South Central",204312,1,Sony
247,142005,High,47,"Old Age",2,"Less than College",6,Dodge,8,Pacific,109405,1,Sony
248,117065,High,29,"Young Adult",0,"Less than High School",8,Honda,3,"West North Central",335363,1,Sony
249,66431,Minimum,79,"Old Age",1,"High School",20,Others,6,"West South Central",388763,0,Acer
250,27114,"Below Minimum",73,"Old Age",0,"Less than High School",7,Ford,4,"South Atlantic",175191,1,Sony
251,103159,High,44,"Middle Age",1,"High School",5,Chrysler,0,"New England",244791,0,Acer
252,115061,High,34,"Middle Age",2,"Less than College",10,Jeep,0,"New England",137598,1,Sony
253,145410,High,22,"Young Adult",1,"High School",16,Nissan,3,"West North Central",393138,1,Sony
254,58556,"Below Minimum",62,"Old Age",2,"Less than College",19,Toyota,3,"West North Central",389687,0,Acer
255,22282,"Below Minimum",74,"Old Age",1,"High School",10,Jeep,3,"West North Central",56807,1,Sony
256,79449,Minimum,42,"Middle Age",2,"Less than College",5,Chrysler,2,"East North Central",62604,0,Acer
257,67812,Minimum,61,"Old Age",2,"Less than College",19,Toyota,0,"New England",338752,0,Acer
258,50388,"Below Minimum",41,"Middle Age",0,"Less than High School",3,Cadillac,5,"East South Central",459918,1,Sony
259,80408,Middle,76,"Old Age",2,"Less than College",16,Nissan,4,"South Atlantic",500000,0,Acer
260,113662,High,64,"Old Age",0,"Less than High School",17,Ram,8,Pacific,48868,1,Sony
261,31489,"Below Minimum",39,"Middle Age",0,"Less than High School",18,Subaru,5,"East South Central",180818,1,Sony
262,63360,"Below Minimum",36,"Middle Age",4,Postgraduate,1,BMW,3,"West North Central",156789,0,Acer
263,48537,"Below Minimum",22,"Young Adult",2,"Less than College",8,Honda,1,Mid-Atlantic,46120,1,Sony
264,58704,"Below Minimum",40,"Middle Age",4,Postgraduate,17,Ram,7,Mountain,309403,0,Acer
265,46174,"Below Minimum",31,"Middle Age",3,College,7,Ford,0,"New England",118500,1,Sony
266,59743,"Below Minimum",25,"Young Adult",0,"Less than High School",17,Ram,5,"East South Central",440157,0,Acer
267,136559,High,62,"Old Age",4,Postgraduate,12,Lincoln,6,"West South Central",134970,1,Sony
268,131958,High,65,"Old Age",4,Postgraduate,11,Kia,1,Mid-Atlantic,238253,1,Sony
269,114941,High,36,"Middle Age",1,"High School",14,"Mercedes Benz",1,Mid-Atlantic,24417,1,Sony
270,98738,Middle,65,"Old Age",3,College,18,Subaru,3,"West North Central",208254,1,Sony
271,109693,High,39,"Middle Age",2,"Less than College",16,Nissan,5,"East South Central",236986,0,Acer
272,91709,Middle,44,"Middle Age",4,Postgraduate,9,Hyundai,5,"East South Central",396256,0,Acer
273,41566,"Below Minimum",60,"Old Age",0,"Less than High School",12,Lincoln,6,"West South Central",212055,0,Acer
274,44863,"Below Minimum",70,"Old Age",4,Postgraduate,15,Mitsubishi,3,"West North Central",153945,0,Acer
275,30521,"Below Minimum",64,"Old Age",2,"Less than College",3,Cadillac,8,Pacific,470383,0,Acer
276,150000,High,46,"Old Age",4,Postgraduate,1,BMW,8,Pacific,313159,1,Sony
